Potential name,Number of valence electrons,Valence electron configuration,ENAMX [eV]
H_GW,1,1s1,300
H_h_GW,1,1s1,700
He_GW,2,1s2,404.806
Li_AE_GW,3,1s2 2p1,433.253
Li_GW,1,2s1,112.417
Li_sv_GW,3,1s2 2p1,433.253
Be_GW,2,2s1.9999 2p0.001,247.951
Be_sv_GW,4,1s2 2p2,536.216
B_GW,3,2s2 2p1,318.762
C_GW,4,2s2 2p2,413.992
C_GW_new,4,2s2 2p2,413.992
N_GW,5,2s2 2p3,420.681
N_GW_new,5,2s2 2p3,420.681
N_s_GW,5,2s2 2p3,296.222
O_GW,6,2s2 2p4,414.315
O_GW_new,6,2s2 2p4,433.745
O_s_GW,6,2s2 2p4,334.366
F_GW,7,2s2 2p5,487.335
F_GW_new,7,2s2 2p5,487.335
Ne_GW,8,2s2 2p6,317.594
Ne_GW_soft,8,2s2 2p6,317.594
Na_sv_GW,9,2s2 2p6 3d1,260.372
Mg_GW,2,3s2,126.671
Mg_pv_GW,8,2p6 3s2,403.538
Mg_sv_GW,10,2s2 2p6 3d2,430.099
Al_GW,3,3s2 3p1,240.957
Al_sv_GW,11,2s2 2p6 3s2 3p1,411.007
Si_GW,4,3s2 3p2,245.704
Si_sv_GW,12,2s2 2p6 3s2 3p2,546.548
P_GW,5,3s2 3p3,255.155
S_GW,6,3s2 3p4,258.602
Cl_GW,7,3s2 3p5,262.25
Ar_GW,8,3s2 3p6,266.101
K_sv_GW,9,3s2 3p6 3d1,248.606
Ca_sv_GW,10,3s2 3p6 3d2,281.209
Sc_sv_GW,11,3s2 3p6 3d3,284.878
Ti_sv_GW,12,3s2 3p6 3d4,285.665
V_sv_GW,13,3s2 3p6 3d5,322.537
Cr_sv_GW,14,3s2 3p6 3d6,327.752
Mn_GW,7,3d6 4s1,278.537
Mn_sv_GW,15,3s2 3p6 3d7,357.618
Fe_GW,8,3d7 4s1,321.044
Fe_sv_GW,16,3s2 3p6 3d8,364.41
Co_GW,9,3d8 4s1,323.447
Co_sv_GW,17,3s2 3p6 3d9,363.483
Ni_GW,10,3d9 4s1,357.352
Ni_sv_GW,18,3s2 3p6 3d10,413.158
Cu_GW,11,3d10 4s1,417.032
Cu_pv_GW,17,3p6 3d10 4s1,466.991
Zn_GW,12,3d10 4s2,328.312
Zn_pv_GW,18,3p6 3d10 4s2,360.353
Zn_sv_GW,20,3s2 3p6 3d12,496.249
Ga_GW,3,4s2 4p1,134.8
Ga_d_GW,13,3d10 4s2 4p1,404.723
Ga_pv_GW,19,3p6 3d10 4s2 4p1,422.753
Ga_sv_GW,21,3s2 3p6 3d10 4s2 4p1,503.451
Ge_GW,4,4s2 4p2,173.969
Ge_d_GW,14,3d10 4s2 4p2,310.448
Ge_sv_GW,22,3s2 3p6 3d10 4s2 4p2,454.654
As_GW,5,4s2 4p3,208.87
Se_GW,6,4s2 4p4,211.602
Br_GW,7,4s2 4p5,216.224
Kr_GW,8,4s2 4p6,185.392
Rb_sv_GW,9,4s2 4p6 4d1,220.92
Sr_sv_GW,10,4s2 4p6 4d2,224.532
Y_sv_GW,11,4s2 4p6 4d3,229.027
Zr_sv_GW,12,4s2 4p6 4d4,282.169
Nb_sv_GW,13,4s2 4p6 4d5,285.574
Mo_sv_GW,14,4s2 4p6 4d6,311.692
Tc_sv_GW,15,4s2 4p6 4d7,317.903
Ru_pv_GW,14,4p6 4d7 5s1,239.907
Ru_sv_GW,16,4s2 4p6 4d8,320.997
Rh_GW,9,4d8 5s1,247.321
Rh_pv_GW,15,4p6 4d8 5s1,247.321
Rh_sv_GW,17,4s2 4p6 4d9,319.891
Pd_GW,10,4d9 5s1,250.832
Ag_GW,11,4d10 5s1,249.752
Cd_GW,12,4d10 5s2,253.99
Cd_pv_GW,18,4p6 4d10 5s2,396.576
Cd_sv_GW,20,4s4 4p6 4d10,650.91
In_d_GW,13,4d10 5s2 5p1,278.582
Sn_d_GW,14,4d10 5s2 5p2,260.086
Sb_GW,5,5s2 5p3,172.301
Sb_d_GW,15,4d10 5s2 5p3,263.147
Te_GW,6,5s2 5p4,175.144
I_GW,7,5s2 5p5,175.712
Xe_GW,8,5s2 5p6,179.528
Cs_sv_GW,9,5s2 5p6 5d1,198.012
Ba_sv_GW,10,5s2 5p6 5d2,237.484
Ce_GW,12,4f1 5s2 5p6 5d1 6s2,304.649
Hf_sv_GW,12,5s2 5p6 5d4,282.716
Ta_sv_GW,13,5s2 5p6 5d5,285.798
W_sv_GW,14,5s2 5p6 5d6,316.943
Re_sv_GW,15,5s2 5p6 5d7,316.85
Os_sv_GW,16,5s2 5p6 5d8,319.628
Ir_sv_GW,17,5s2 5p6 5d9,319.708
Pt_GW,10,5d9 6s1,248.657
Pt_pv_GW,16,5p6 5d9 6s1,248.657
Pt_sv_GW,18,5s2 5p6 5d10,323.536
Au_GW,11,5d10 6s1,248.263
Au_pv_GW,17,5p6 5d10 6s1,248.263
Pb_d_GW,14,5d10 6s2 6p2,237.793
Bi_GW,5,6s2 6p3,146.628
Bi_d_GW,15,5d10 6s2 6p3,242.856
