Potential name,Number of valence electrons,Valence electron configuration,ENAMX [eV]
H_GW,1,1s1,300
H_h_GW,1,1s1,700
He_GW,2,1s2,405.78
Li_AE_GW,3,1s2 2p1,433.699
Li_GW,1,2s1,112.104
Li_sv_GW,3,1s2 2p1,433.699
Be_GW,2,2s1.9999 2p0.001,247.543
Be_sv_GW,4,1s2 2p2,537.454
B_GW,3,2s2 2p1,318.614
C_GW,4,2s2 2p2,413.992
C_GW_new,4,2s2 2p2,413.992
N_GW,5,2s2 2p3,420.902
N_GW_new,5,2s2 2p3,420.902
N_s_GW,5,2s2 2p3,296.495
O_GW,6,2s2 2p4,414.635
O_GW_new,6,2s2 2p4,434.431
O_s_GW,6,2s2 2p4,334.664
F_GW,7,2s2 2p5,487.698
F_GW_new,7,2s2 2p5,487.698
Ne_GW,8,2s2 2p6,318.26
Ne_GW_soft,8,2s2 2p6,318.26
Na_sv_GW,9,2s2 2p6 3d1,260.065
Mg_GW,2,3s2,126.143
Mg_pv_GW,8,2p6 3s2,403.929
Mg_sv_GW,10,2s2 2p6 3d2,429.893
Al_GW,3,3s2 3p1,240.3
Al_sv_GW,11,2s2 2p6 3s2 3p1,411.109
Si_GW,4,3s2 3p2,245.345
Si_sv_GW,12,2s2 2p6 3s2 3p2,547.578
P_GW,5,3s2 3p3,255.04
S_GW,6,3s2 3p4,258.689
Cl_GW,7,3s2 3p5,262.472
Ar_GW,8,3s2 3p6,266.408
K_sv_GW,9,3s2 3p6 3d1,248.998
Ca_sv_GW,10,3s2 3p6 3d2,281.43
Sc_sv_GW,11,3s2 3p6 3d3,285.066
Ti_sv_GW,12,3s2 3p6 3d4,285.998
V_sv_GW,13,3s2 3p6 3d5,323.07
Cr_sv_GW,14,3s2 3p6 3d6,328.282
Mn_GW,7,3d6 4s1,278.466
Mn_sv_GW,15,3s2 3p6 3d7,357.944
Fe_GW,8,3d7 4s1,321.007
Fe_sv_GW,16,3s2 3p6 3d8,364.719
Co_GW,9,3d8 4s1,323.4
Co_sv_GW,17,3s2 3p6 3d9,363.77
Ni_GW,10,3d9 4s1,357.323
Ni_sv_GW,18,3s2 3p6 3d10,413.475
Cu_GW,11,3d10 4s1,417.039
Cu_pv_GW,17,3p6 3d10 4s1,467.331
Zn_GW,12,3d10 4s2,328.191
Zn_pv_GW,18,3p6 3d10 4s2,360.246
Zn_sv_GW,20,3s2 3p6 3d12,496.604
Ga_GW,3,4s2 4p1,134.678
Ga_d_GW,13,3d10 4s2 4p1,404.602
Ga_pv_GW,19,3p6 3d10 4s2 4p1,423.002
Ga_sv_GW,21,3s2 3p6 3d10 4s2 4p1,503.418
Ge_GW,4,4s2 4p2,173.807
Ge_d_GW,14,3d10 4s2 4p2,310.294
Ge_sv_GW,22,3s2 3p6 3d10 4s2 4p2,454.489
As_GW,5,4s2 4p3,208.702
Se_GW,6,4s2 4p4,211.555
Br_GW,7,4s2 4p5,216.285
Kr_GW,8,4s2 4p6,185.331
Rb_sv_GW,9,4s2 4p6 4d1,221.197
Sr_sv_GW,10,4s2 4p6 4d2,224.817
Y_sv_GW,11,4s2 4p6 4d3,229.276
Zr_sv_GW,12,4s2 4p6 4d4,282.431
Nb_sv_GW,13,4s2 4p6 4d5,285.792
Mo_sv_GW,14,4s2 4p6 4d6,311.905
Tc_sv_GW,15,4s2 4p6 4d7,318.11
Ru_pv_GW,14,4p6 4d7 5s1,240.049
Ru_sv_GW,16,4s2 4p6 4d8,321.2
Rh_GW,9,4d8 5s1,247.408
Rh_pv_GW,15,4p6 4d8 5s1,247.408
Rh_sv_GW,17,4s2 4p6 4d9,320.091
Pd_GW,10,4d9 5s1,250.925
Ag_GW,11,4d10 5s1,249.844
Cd_GW,12,4d10 5s2,254.045
Cd_pv_GW,18,4p6 4d10 5s2,396.766
Cd_sv_GW,20,4s4 4p6 4d10,651.254
In_d_GW,13,4d10 5s2 5p1,278.624
Sn_d_GW,14,4d10 5s2 5p2,260.066
Sb_GW,5,5s2 5p3,172.069
Sb_d_GW,15,4d10 5s2 5p3,263.1
Te_GW,6,5s2 5p4,174.982
I_GW,7,5s2 5p5,175.647
Xe_GW,8,5s2 5p6,179.547
Cs_sv_GW,9,5s2 5p6 5d1,198.101
Ba_sv_GW,10,5s2 5p6 5d2,237.515
Ce_GW,12,4f1 5s2 5p6 5d1 6s2,304.625
Hf_sv_GW,12,5s2 5p6 5d4,282.964
Ta_sv_GW,13,5s2 5p6 5d5,286.008
W_sv_GW,14,5s2 5p6 5d6,317.132
Re_sv_GW,15,5s2 5p6 5d7,317.012
Os_sv_GW,16,5s2 5p6 5d8,319.773
Ir_sv_GW,17,5s2 5p6 5d9,319.843
Pt_GW,10,5d9 6s1,248.716
Pt_pv_GW,16,5p6 5d9 6s1,248.716
Pt_sv_GW,18,5s2 5p6 5d10,323.669
Au_GW,11,5d10 6s1,248.344
Au_pv_GW,17,5p6 5d10 6s1,248.344
Pb_d_GW,14,5d10 6s2 6p2,237.809
Bi_GW,5,6s2 6p3,146.53
Bi_d_GW,15,5d10 6s2 6p3,242.839
