Potential name,Number of valence electrons,Valence electron configuration,ENAMX [eV]
H,1,1s1,250
H.25,0.25,1s0.25,250
H.33,0.33,1s0.33,250
H.42,0.42,1s0.42,250
H.5,0.5,1s0.5,250
H.58,0.58,1s0.58,250
H.66,0.66,1s0.66,250
H.75,0.75,1s0.75,250
H1.25,1.25,1s1.25,250
H1.33,1.33,1s1.33,250
H1.5,1.5,1s1.5,250
H1.66,1.66,1s1.66,250
H1.75,1.75,1s1.75,250
H_AE,1,,1000
H_h,1,1s1,700
H_s,1,1s1,200
He,2,1s2,477.779
Li,1,2s1,140
Li_sv,3,1s2 2s1,498.387
Be,2,2s1.9999 2p0.001,247.951
Be_sv,4,1s2 2s1.9999 2p0.001,308.45
B,3,2s2 2p1,318.762
B_h,3,2s2 2p1,700
B_s,3,2s2 2p1,269.251
C,4,2s2 2p2,400
C_h,4,2s2 2p2,700
C_s,4,2s2 2p2,273.704
N,5,2s2 2p3,400
N_h,5,2s2 2p3,700
N_s,5,2s2 2p3,279.424
O,6,2s2 2p4,400
O_h,6,2s2 2p4,700
O_s,6,2s2 2p4,282.604
F,7,2s2 2p5,400
F_h,7,2s2 2p5,772.351
F_s,7,2s2 2p5,289.647
Ne,8,2s2 2p6,343.403
Na,1,3s1,101.956
Na_pv,7,2p6 3s1,259.494
Na_sv,9,2s2 2p6 3s1,644.874
Mg,2,3s1.999 3p0.001,200
Mg_pv,8,2p6 3s2,403.538
Mg_sv,10,2s2 2p6 3s2,473.54
Al,3,3s2 3p1,240.957
Si,4,3s2 3p2,245.704
P,5,3s2 3p3,255.155
P_h,5,3s2 3p3,390.903
S,6,3s2 3p4,258.602
S_h,6,3s2 3p4,402.84
Cl,7,3s2 3p5,262.25
Cl_h,7,3s2 3p5,409.272
Ar,8,3s2 3p6,266.101
K_pv,7,3p6 4s1,116.596
K_sv,9,3s2 3p6 4s1,259.279
Ca_pv,8,3p6 4s2,119.552
Ca_sv,10,3s2 3p6 4s2,266.727
Sc,3,3d2 4s1,155.006
Sc_sv,11,3s2 3p6 3d2 4s1,222.7
Ti,4,3d3 4s1,178.52
Ti_pv,10,3p6 3d3 4s1,222.435
Ti_sv,12,3s2 3p6 3d3 4s1,274.719
V,5,3d4 4s1,192.706
V_pv,11,3p6 3d4 4s1,263.722
V_sv,13,3s2 3p6 3d4 4s1,263.722
Cr,6,3d5 4s1,227.202
Cr_pv,12,3p6 3d5 4s1,265.753
Cr_sv,14,3s2 3p6 3d5 4s1,395.443
Mn,7,3d6 4s1,269.944
Mn_pv,13,3p6 3d6 4s1,269.944
Mn_sv,15,3s2 3p6 3d6 4s1,387.112
Fe,8,3d7 4s1,267.969
Fe_pv,14,3p6 3d7 4s1,293.303
Fe_sv,16,3s2 3p6 3d7 4s1,390.513
Co,9,3d8 4s1,268.056
Co_pv,15,3p6 3d8 4s1,270.871
Co_sv,17,3s2 3p6 3d8 4s1,390.343
Ni,10,3d9 4s1,269.618
Ni_pv,16,3p6 3d9 4s1,367.726
Cu,11,3d10 4s1,295.521
Cu_pv,17,3p6 3d10 4s1,368.406
Zn,12,3d10 4s2,276.847
Ga,3,4s2 4p1,134.8
Ga_d,13,3d10 4s2 4p1,282.829
Ga_h,13,3d10 4s2 4p1,404.723
Ge,4,4s2 4p2,173.969
Ge_d,14,3d10 4s2 4p2,310.448
Ge_h,14,3d10 4s2 4p2,410.604
As,5,4s2 4p3,208.87
As_d,15,3d10 4s2 4p3,288.762
Se,6,4s2 4p4,211.602
Br,7,4s2 4p5,216.224
Kr,8,4s2 4p6,185.392
Rb_pv,7,4p6 4d0.001 5s0.999,122.21
Rb_sv,9,4s2 4p6 4d0.001 5s0.999,220.215
Sr_sv,10,4s2 4p6 4d0.001 5s1.999,226.327
Y_sv,11,4s2 4p6 4d2 5s1,202.554
Zr_sv,12,4s2 4p6 4d3 5s1,230.037
Nb_pv,11,4p6 4d4 5s1,207.263
Nb_sv,13,4s2 4p6 4d4 5s1,293.304
Mo,6,4d5 5s1,224.535
Mo_pv,12,4p6 4d5 5s1,224.535
Mo_sv,14,4s2 4p6 4d5 5s1,236.514
Tc,7,4d6 5s1,228.636
Tc_pv,13,4p6 4d6 5s1,263.345
Tc_sv,15,4s2 4p6 4d6 5s1,318.479
Ru,8,4d7 5s1,213.221
Ru_pv,14,4p6 4d7 5s1,239.907
Ru_sv,16,4s2 4p6 4d7 5s1,318.687
Rh,9,4d8 5s1,228.926
Rh_pv,15,4p6 4d8 5s1,247.321
Pd,10,4d9 5s1,250.832
Pd_pv,16,4p6 4d9 5s1,250.832
Ag,11,4d10 5s1,249.752
Ag_pv,17,4p6 4d10 5s1,297.68
Cd,12,4d10 5s2,274.265
In,3,5s2 5p1,96.062
In_d,13,4d10 5s2 5p1,239.196
Sn,4,5s2 5p2,103.318
Sn_d,14,4d10 5s2 5p2,241.107
Sb,5,5s2 5p3,172.301
Te,6,5s2 5p4,175.144
I,7,5s2 5p5,175.712
Xe,8,5s2 5p6,153.021
Cs_sv,9,5s2 5p6 6s1,220.727
Ba_sv,10,5s2 5p6 5d0.001 6s1.999,186.981
La,11,4f0.0001 5s2 5p6 5d0.9999 6s2,219.044
La_s,9,4f0.0001 5p6 5d0.9999 6s2,136.594
Ce,12,4f1 5s2 5p6 5d1 6s2,273.088
Ce_h,12,4f1 5s2 5p6 5d1 6s2,299.927
Hf,4,5d3 6s1,220.431
Hf_pv,10,5p6 5d3 6s1,220.431
Hf_sv,12,5s2 5p6 5d4,237.414
Ta,5,5d4 6s1,223.759
Ta_pv,11,5p6 5d4 6s1,223.759
W,6,5d5 6s1,223.126
W_sv,14,5s2 5p6 5d5 6s1,223.126
Re,7,5d6 6s1,226.25
Re_pv,13,5p6 5d6 6s1,226.25
Os,8,5d7 6s1,228.023
Os_pv,14,5p6 5d7 6s1,228.023
Ir,9,5d8 6s1,210.837
Pt,10,5d9 6s1,230.228
Pt_pv,16,5p6 5d9 6s1,294.53
Au,11,5d10 6s1,229.869
Hg,12,5d10 6s2,233.142
Tl,3,6s2 6p1,90.239
Tl_d,13,5d10 6s2 6p1,237.001
Pb,4,6s2 6p2,98.039
Pb_d,14,5d10 6s2 6p2,237.817
Bi,5,6s2 6p3,105.071
Bi_d,15,5d10 6s2 6p3,242.856
Po,6,6s2 6p4,159.801
Po_d,16,5d10 6s2 6p4,264.606
At,7,6s2 6p5,161.481
Rn,8,6s2 6p6,152.086
Fr_sv,9,6s2 6p6 7s1,214.489
Ra_sv,10,6s2 6p6 7s2,237.216
Ac,11,5f0.0001 6s2 6p6 6d0.9999 7s2,170.048
Th,12,5f1 6s2 6p6 6d1 7s2,247.389
Th_s,10,5f1 6p6 6d1 7s2,169.575
Pa,13,5f1 6s2 6p6 6d2 7s2,252.31
Pa_s,11,5f1 6p6 6d2 7s2,193.642
U,14,5f2 6s2 6p6 6d2 7s2,252.603
U_s,14,5f2 6s2 6p6 6d2 7s2,209.218
Np,15,5f3 6s2 6p6 6d2 7s2,254.349
Np_s,15,5f3 6s2 6p6 6d2 7s2,213.932
Pu,16,5f4 6s2 6p6 6d2 7s2,254.436
Pu_s,16,5f4 6s2 6p6 6d2 7s2,211.493
Am,17,5f5 6s2 6p6 6d2 7s2,255.953
Cm,18,5f6 6s2 6p6 6d2 7s2,258.027
