Potential name,Number of valence electrons,Valence electron configuration,ENAMX [eV]
H,1,1s1,250
H.25,0.25,1s0.25,250
H.33,0.33,1s0.33,250
H.42,0.42,1s0.42,250
H.5,0.5,1s0.5,250
H.58,0.58,1s0.58,250
H.66,0.66,1s0.66,250
H.75,0.75,1s0.75,250
H1.25,1.25,1s1.25,250
H1.33,1.33,1s1.33,250
H1.5,1.5,1s1.5,250
H1.66,1.66,1s1.66,250
H1.75,1.75,1s1.75,250
H_AE,1,,1000
H_h,1,1s1,700
H_s,1,1s1,200
He,2,1s2,478.896
He_AE,2,1s2,2135.871
Li,1,2s1,140
Li_sv,3,1s2 2s1,499.034
Be,2,2s1.99 2p0.01,247.543
Be_sv,4,1s2 2s1.99 2p0.01,308.768
B,3,2s2 2p1,318.614
B_h,3,2s2 2p1,700
B_s,3,2s2 2p1,269.245
C,4,2s2 2p2,400
C_h,4,2s2 2p2,741.689
C_s,4,2s2 2p2,273.911
N,5,2s2 2p3,400
N_h,5,2s2 2p3,755.582
N_s,5,2s2 2p3,279.692
O,6,2s2 2p4,400
O_h,6,2s2 2p4,765.519
O_s,6,2s2 2p4,282.853
F,7,2s2 2p5,400
F_h,7,2s2 2p5,772.626
F_s,7,2s2 2p5,289.837
Ne,8,2s2 2p6,343.606
Na,1,3s1,101.968
Na_pv,7,2p6 3s1,259.561
Na_sv,9,2s2 2p6 3s1,645.64
Mg,2,3s2,200
Mg_pv,8,2p6 3s2,403.929
Mg_sv,10,2s2 2p6 3s2,495.223
Al,3,3s2 3p1,240.3
Si,4,3s2 3p2,245.345
P,5,3s2 3p3,255.04
P_h,5,3s2 3p3,390.202
S,6,3s2 3p4,258.689
S_h,6,3s2 3p4,402.436
Cl,7,3s2 3p5,262.472
Cl_h,7,3s2 3p5,409.136
Ar,8,3s2 3p6,266.408
K_pv,7,3p6 4s1,116.731
K_sv,9,3s2 3p6 4s1,259.264
Ca_pv,8,3p6 4s2,119.559
Ca_sv,10,3s2 3p6 4s2,266.622
Sc,3,3d2 4s1,154.763
Sc_sv,11,3s2 3p6 3d2 4s1,222.66
Ti,4,3d3 4s1,178.33
Ti_pv,10,3p6 3d3 4s1,222.335
Ti_sv,12,3s2 3p6 3d3 4s1,274.61
V,5,3d4 4s1,192.543
V_pv,11,3p6 3d4 4s1,263.673
V_sv,13,3s2 3p6 3d4 4s1,263.673
Cr,6,3d5 4s1,227.08
Cr_pv,12,3p6 3d5 4s1,265.681
Cr_sv,14,3s2 3p6 3d5 4s1,395.471
Mn,7,3d6 4s1,269.864
Mn_pv,13,3p6 3d6 4s1,269.864
Mn_sv,15,3s2 3p6 3d6 4s1,387.187
Fe,8,3d7 4s1,267.882
Fe_pv,14,3p6 3d7 4s1,293.238
Fe_sv,16,3s2 3p6 3d7 4s1,390.558
Co,9,3d8 4s1,267.968
Co_pv,15,3p6 3d8 4s1,271.042
Co_sv,17,3s2 3p6 3d8 4s1,390.362
Ni,10,3d9 4s1,269.532
Ni_pv,16,3p6 3d9 4s1,367.986
Cu,11,3d10 4s1,295.446
Cu_pv,17,3p6 3d10 4s1,368.648
Zn,12,3d10 4s2,276.723
Ga,3,4s2 4p1,134.678
Ga_d,13,3d10 4s2 4p1,282.691
Ga_h,13,3d10 4s2 4p1,404.601
Ge,4,4s2 4p2,173.807
Ge_d,14,3d10 4s2 4p2,310.294
Ge_h,14,3d10 4s2 4p2,410.425
As,5,4s2 4p3,208.702
As_d,15,3d10 4s2 4p3,288.651
Se,6,4s2 4p4,211.555
Br,7,4s2 4p5,216.285
Kr,8,4s2 4p6,185.331
Rb_pv,7,4p6 4d0.001 5s0.999,121.882
Rb_sv,9,4s2 4p6 4d0.001 5s0.999,220.112
Sr_sv,10,4s2 4p6 4d0.001 5s1.999,229.353
Y_sv,11,4s2 4p6 4d2 5s1,202.626
Zr_sv,12,4s2 4p6 4d3 5s1,229.898
Nb_pv,11,4p6 4d4 5s1,208.608
Nb_sv,13,4s2 4p6 4d4 5s1,293.235
Mo,6,4d5 5s1,224.584
Mo_pv,12,4p6 4d5 5s1,224.584
Mo_sv,14,4s2 4p6 4d5 5s1,242.676
Tc,7,4d6 5s1,228.694
Tc_pv,13,4p6 4d6 5s1,263.523
Tc_sv,15,4s2 4p6 4d6 5s1,318.703
Ru,8,4d7 5s1,213.271
Ru_pv,14,4p6 4d7 5s1,240.049
Ru_sv,16,4s2 4p6 4d7 5s1,318.855
Rh,9,4d8 5s1,228.996
Rh_pv,15,4p6 4d8 5s1,247.408
Pd,10,4d9 5s1,250.925
Pd_pv,16,4p6 4d9 5s1,250.925
Ag,11,4d10 5s1,249.844
Ag_pv,17,4p6 4d10 5s1,297.865
Cd,12,4d10 5s2,274.336
In,3,5s2 5p1,95.934
In_d,13,4d10 5s2 5p1,239.211
Sn,4,5s2 5p2,103.236
Sn_d,14,4d10 5s2 5p2,241.083
Sb,5,5s2 5p3,172.069
Te,6,5s2 5p4,174.982
I,7,5s2 5p5,175.647
Xe,8,5s2 5p6,153.118
Cs_sv,9,5s2 5p6 6s1,220.318
Ba_sv,10,5s2 5p6 5d0.01 6s1.99,187.181
La,11,4f0.0001 5s2 5p6 5d0.9999 6s2,219.292
La_s,9,5p6 5d1 6s2,136.53
Ce,12,4f1 5s2 5p6 5d1 6s2,273.042
Ce_3,11,5s2 5p6 5d1 6s2,176.506
Ce_h,12,4f1 5s2 5p6 5d1 6s2,299.9
Pr,13,4f2.5 5s2 5p6 5d0.5 6s2,337.25
Pr_3,11,5s2 5p6 5d1 6s2,181.719
Pr_h,13,4f2.5 5s2 5p6 5d0.5 6s2,400.742
Nd,14,4f3.5 5s2 5p6 5d0.5 6s2,338.34
Nd_3,11,5s2 5p6 5d1 6s2,182.619
Nd_h,14,4f3.5 5s2 5p6 5d0.5 6s2,402.016
Pm,15,4f4.5 5s2 5p6 5d0.5 6s2,340.358
Pm_3,11,5s2 5p6 5d1 6s2,176.959
Pm_h,15,4f4.5 5s2 5p6 5d0.5 6s2,404.406
Sm,16,4f5.5 5s2 5p6 5d0.5 6s2,341.177
Sm_3,11,5s2 5p6 5d1 6s2,177.087
Sm_h,16,4f5.5 5s2 5p6 5d0.5 6s2,405.382
Eu,17,4f6.5 5s2 5p6 5d0.5 6s2,344.705
Eu_2,8,5p6 6s2,99.328
Eu_3,9,5p6 5d1 6s2,129.057
Eu_h,17,4f6.5 5s2 5p6 5d0.5 6s2,403.212
Gd,18,4f7.5 5s2 5p6 5d0.5 6s2,342.859
Gd_3,9,5p6 5d1 6s2,154.332
Gd_h,18,4f7.5 5s2 5p6 5d0.5 6s2,407.403
Tb,19,4f8.5 5s2 5p6 5d0.5 6s2,340.855
Tb_3,9,5p6 5d1 6s2,155.613
Tb_h,19,4f8.5 5s2 5p6 5d0.5 6s2,405.043
Dy,20,4f9.5 5s2 5p6 5d0.5 6s2,341.547
Dy_3,9,5p6 5d1 6s2,155.713
Dy_h,20,4f9.5 5s2 5p6 5d0.5 6s2,405.886
Ho,21,4f10.5 5s2 5p6 5d0.5 6s2,343.845
Ho_3,9,5p6 5d1 6s2,154.137
Ho_h,21,4f10.5 5s2 5p6 5d0.5 6s2,415.91
Er,22,4f11.5 5s2 5p6 5d0.5 6s2,346.295
Er_2,8,5p6 6s2,119.75
Er_3,9,5p6 5d1 6s2,155.037
Er_h,22,4f11.5 5s2 5p6 5d0.5 6s2,429.583
Tm,23,4f12.5 5s2 5p6 5d0.5 6s2,344.206
Tm_3,9,5p6 5d1 6s2,149.221
Tm_h,23,4f12.5 5s2 5p6 5d0.5 6s2,419.812
Yb,24,4f13.5 5s2 5p6 5d0.5 6s2,344.312
Yb_2,8,5p6 6s2,112.578
Yb_3,9,5p6 5d1 6s2,188.359
Yb_h,24,4f13.5 5s2 5p6 5d0.5 6s2,409.285
Lu,25,4f14 5s2 5p6 5d1 6s2,255.695
Lu_3,9,5p6 5d1 6s2,154.992
Hf,4,5d3 6s1,220.334
Hf_pv,10,5p6 5d3 6s1,220.334
Hf_sv,12,5s2 5p6 5d4,237.444
Ta,5,5d4 6s1,223.667
Ta_pv,11,5p6 5d4 6s1,223.667
W,6,5d5 6s1,223.057
W_sv,14,5s2 5p6 5d5 6s1,223.057
Re,7,5d6 6s1,226.216
Re_pv,13,5p6 5d6 6s1,226.216
Os,8,5d7 6s1,228.022
Os_pv,14,5p6 5d7 6s1,228.022
Ir,9,5d8 6s1,210.864
Pt,10,5d9 6s1,230.283
Pt_pv,16,5p6 5d9 6s1,294.607
Au,11,5d10 6s1,229.943
Hg,12,5d10 6s2,233.204
Tl,3,6s2 6p1,90.14
Tl_d,13,5d10 6s2 6p1,237.053
Pb,4,6s2 6p2,97.973
